"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	418	NA	"1970"	"Z-201"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	419	NA	"1970"	"Z-199"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	420	NA	"1969"	"Z-64"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	421	NA	"1969"	"Z-66"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	422	NA	"1969"	"Z-73"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	423	NA	"1969"	"Z-76"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	424	NA	"1969"	"Z-78"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	425	NA	"1969"	"Z-80"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	426	NA	"1969"	"Z-83"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	427	NA	"1969"	"Z-84 y Z-86"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	428	NA	"1969"	"Z-85"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	429	NA	"1969"	"Z-88"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	430	NA	"1987"	"Aprovechamiento de recursos de origen biolgico en la Cuenca de Mxico (2500 antes de Cristo-1500 despues de Cristo)"	NA	"Geofsica Internacional. volumen especial sobre el cinturn volcanico mexicano- parte 3A"	26	NA	"15-28"	NA	"Geofsica Internacional. volumen especial sobre el cinturn volcanico mexicano- parte 3A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	431	NA	"1969"	"Z-91"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	432	NA	"1969"	"Z-94a"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	433	NA	"1969"	"Z-94b"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	434	NA	"1969"	"Z-97"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	435	NA	"1969"	"Z-25"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	436	NA	"1969"	"Z-29"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	437	NA	"1969"	"Z-30"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	438	NA	"1969"	"Z-31"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	440	NA	"1969"	"Z-35"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	441	NA	"1997"	"Mamferos pleistocnicos de la cueva La Presita, San Luis Potos, Mxico"	NA	"En: Homenaje al profesor Ticual lvarez. Coleccin Cientfica"	0	NA	"279-296"	NA	"En: Homenaje al profesor Ticual lvarez. Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	442	NA	"1969"	"Z-26"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	443	NA	"1997"	"Archaeological occurrence of the meadow vole, Microtus pennsylvanicus, in Chihuahua, Mxico"	NA	"The Southwestern Naturalist"	42	NA	"101-102"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	444	NA	"1969"	"Z-53"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	445	NA	"1968"	"Z-17"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	446	NA	"1968"	"Z-16"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	447	NA	"1969"	"Z-58"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	448	NA	"9999"	"Z-214"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	449	NA	"1968"	"Z-13"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	450	NA	"1936"	"Proboscidea: a monograph of the discovery, evolution, migration and extinction of the mastodonts and elephants of the world. Volume I: Moeritherioidea, Deinotherioidea, Mastodontoidea"	NA	"The American Museum of Natural History"	1	NA	"1-802"	NA	"The American Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	451	NA	"1970"	"Z-167"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	452	NA	"1978"	"Z-313"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	453	NA	"1978"	"Z-316"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	454	NA	"1979"	"Geologa de la regin central de Aguascalientes, Ags. Mxico"	NA	NA	0	NA	NA	NA	NA	"Facultad de Igeniera, Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	455	NA	"1982"	"Z-372"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	456	NA	"1980"	"Pleistocene fossil turtles from Aguascalientes, State of Aguascalientes"	NA	"Revista del Instituto de Geologa"	4	NA	"63-66"	NA	"Revista del Instituto de Geologa"	"Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	457	NA	"1978"	"Z-317"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	458	NA	"1982"	"Z-374"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	459	NA	"1977"	"Z-303"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	460	NA	"1979"	"Z-336"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	461	NA	"1970"	"Z-166"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	462	NA	"1969"	"Z-47"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	463	NA	"1970"	"Z-164"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	464	NA	"1969"	"Z-111"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	465	NA	"1968"	"Z-18"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	466	NA	"1982"	"Z-366: Informe de los restos de \"Las Cuatro Casas\", Chihuahua"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	467	NA	"1997"	"Revisin de los vampiros fsiles (Chiroptera: Phyllostomidae, Desmodontidae) de Mxico"	NA	"En: Homenaje al profesor Ticual lvarez. Coleccin Cientfica"	0	NA	"69-86"	NA	"En: Homenaje al profesor Ticual lvarez. Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	468	NA	"1970"	"Z-211"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	469	NA	"1978"	"Z-309: Informe de los restos procedentes de Tomatlan, Jal."	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	470	NA	"1978"	"Z-314: Informe de los restos seos procedentes de el convento de San Jernimo, Mex."	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	471	NA	"1977"	"Z-304: Informe del material procedente de la excavacin en Sta. Luca, Edo de Mex."	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	472	NA	"1977"	"Z-305: Informe de los restos seos procedentes del museo local de Zumpango"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	473	NA	"1978"	"Z-308: Informe de los restos seos procedentes de La Angostura A58, Chiapas"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	474	NA	"1979"	"Z-324: Identificacin del material procedente de La Negreta, Quertaro"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	475	NA	"1979"	"Z-323: Identificacin del material procedente de la cueva de Pilancon, Municipio de Altzayanen, Tlaxcala"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	476	NA	"1983"	"Z-382"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	477	NA	"1983"	"Z-379: Identificacin de los restos seos de Villa Corzo, Chiapas"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	478	NA	"1981"	"Z-357"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	479	NA	"1981"	"Z-360: Identificacin de los restos seos procedentes de Tepeapulco, Hidalgo"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	480	NA	"1981"	"Z-361"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	481	NA	"1981"	"Z-363"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	482	NA	"1981"	"Z-362"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	483	NA	"1980"	"Z-344"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	484	NA	"1980"	"Z-350: Identificacin de los restos de Tizatlan y Totolac, Tlaxcala"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	485	NA	"1980"	"Z-351"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	486	NA	"1982"	"Z-377"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	487	NA	"1983"	"Z-383: Identificacin de los restos seos procedentes de Pichilingue, B. C. S."	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	488	NA	"1976"	"Estudios geolgico-paleontlogico en la regin mixteca, PT.1: geologa del area Tamazulapan-Tepascolula-Yanhuitlan, Mixteca alta, estado de Oaxaca, Mxico"	NA	"Boletn del Instituto de Geologa"	97	NA	"1-160"	NA	"Boletn del Instituto de Geologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	489	NA	"1992"	"Restos animales encontrados en las excavaciones del proyecto Xaltocan-un informe preliminar (14-122)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	490	NA	"1978"	"Vestigios de labor humana en huesos de animales extintos de Valsequillo, Puebla Mexico"	NA	"Consejo editorial del gobierno del estado de Puebla"	0	NA	"1-125"	NA	"Consejo editorial del gobierno del estado de Puebla"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	491	NA	"1997"	"El estudio de los mamferos del Templo Olvidado, Palenque, Chiapas"	NA	"En: Homenaje al profesor Ticual lvarez. Coleccin Cientfica"	0	NA	"239-253"	NA	"En: Homenaje al profesor Ticual lvarez. Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	492	NA	"1971"	"Z-227"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	493	NA	"1971"	"Z-228"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	494	NA	"1974"	"Z-250"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	495	NA	"1975"	"Z-277"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	496	NA	"1975"	"Z-276"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	497	NA	"1975"	"Z-278"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	498	NA	"1976"	"Z-285"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	499	NA	"1980"	"Z-346"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	500	NA	"1980"	"Z-339"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	501	NA	"1980"	"Z-342"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	502	NA	"1975"	"Z-253"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	503	NA	"1976"	"Z-289"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	504	NA	"1976"	"Z-291"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	505	NA	"1976"	"Z-293"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	506	NA	"1976"	"Z-296"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	507	NA	"1976"	"Z-297"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	508	NA	"1981"	"Z-358: Identificacin de los restos seos procedentes de Tomatlan, Jalisco"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	509	NA	"1980"	"Z-348: Identificacin de los restos seos procedentes del convento de San Jernimo, Mxico, D. F."	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	510	NA	"1983"	"The Felinae (Mammalia: Felidae) from the Late Pleistocene tar seeps at Talara, Peru, with a critical examination of the fossil and recent felines of North and South America"	NA	NA	0	NA	NA	NA	NA	"University of Toronto"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	511	NA	"1968"	"Paleontology"	NA	"in: Biology of Peromyscus (Rodentia). Special Publication of the American Society of Mammalogists"	0	NA	"6-26"	NA	"in: Biology of Peromyscus (Rodentia). Special Publication of the American Society of Mammalogists"	"American Society of Mammalogists"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	512	NA	"1974"	"Z-246"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	513	NA	"1977"	"Z-301"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	514	NA	"1971"	"Z-231: Identificacin del material oseo procedente de la regin de San Jose Tepenen, Estado de Hidalgo"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	515	NA	"1969"	"Z-128"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	516	NA	"1968"	"Evolution and classification of the pocket gophers of the subfamily Geomyinae"	NA	"University of Kansas Publications, Museum of Natural History"	16	NA	"473-579"	NA	"University of Kansas Publications, Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	517	NA	"1968"	"Revision of pocket gophers of the genus Pappogeomys"	NA	"University of Kansas Publications, Museum of Natural History"	16	NA	"581-776"	NA	"University of Kansas Publications, Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	518	NA	"1968"	"Z-14: Informe de la identificacin de los huesos procedentes de Sta. Catarina, Cholula, Puebla, efectuadas por el prof. Daniel Wolfman, director de excavaciones de la Universidad de las Amricas"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	519	NA	"1969"	"Z-48: Excavaciones arqueolgicas de Palenque, Chis. Temporada 1968, Edif. XIV ofrenda 1"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	520	NA	"1986"	"As fue y as es Valparaso"	NA	NA	0	NA	NA	NA	NA	"Antonio Sauced Ovalle"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	521	NA	"1980"	"Z-343"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	522	NA	"1974"	"Z-247: Identificacin del material seo y conchas rescatados en las excavaciones de \"La Villita\", Michoacn y Guerrero"	NA	NA	0	NA	NA	NA	NA	"Laboratorio de Paleozoologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
