"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	35	NA	"1979"	"The stilt-legged deer Sangamona of the North-American Pleistocene"	NA	"Boreas"	8	NA	"313-321"	NA	"Boreas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	36	NA	"1984"	"Geographic differentiation in the Rancholabrean dire wolf (Canis dirus Leidy) in North America"	NA	"Special Publication, Carnegie Museum of Natural History"	0	NA	"218-227"	NA	"Special Publication, Carnegie Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	37	NA	"1980"	"Late Pleistocene and Holocene mammals from Northern Mexico and their implications for archaeological research"	NA	"Papers on the Prehistory of Northeastern Mexico and adjacent Texas"	0	NA	"33-40"	NA	"Papers on the Prehistory of Northeastern Mexico and adjacent Texas"	"Center for archaeological Research, The University of Texas at San Antonio, Special Report"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	38	NA	"1983"	"Prehistoric extralimital records for Pappogeomys castanops (Geomyidae) in northwestern New Mexico"	NA	"Journal of Mammalogy"	64	NA	"502-505"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	39	NA	"1948"	"Los vertebrados fsiles del cuaternario de Mxico"	NA	"Revista de la Sociedad Mexicana de Historia Natural"	9	NA	"1-35"	NA	"Revista de la Sociedad Mexicana de Historia Natural"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	40	NA	"1985"	"The Shasta ground sloth Nothrotheriops shastensis (Xenarthra, Megatheriidae) in the Middle Pleistocene of Florida"	NA	"The Evolution and Ecology of Armadillos, Sloths, and Vermilinguas"	0	NA	"95-104"	NA	"The Evolution and Ecology of Armadillos, Sloths, and Vermilinguas"	"Smithsonian Institution Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	41	NA	"1988"	"New species of fossil vampire bats (Mammalia: Chiroptera: Desmodontidae) from Florida and Venezuela"	NA	"Proceedings of the Biological Society of Washington"	101	NA	"912-928"	NA	"Proceedings of the Biological Society of Washington"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	42	NA	"1987"	"Reconstruction of cranial morphology and analysis of function in the pleistocene ground sloth Nothrotheriops shastense (Mammalia, Megatheriidae)"	NA	"Contributions in Science"	0	NA	"1-21"	NA	"Contributions in Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	43	NA	"1963"	"Fossil remains of southern bog lemming in Pleistocene deposits of Texas"	NA	"Journal of Mammalogy"	44	NA	"275-277"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	44	NA	"1974"	"The manus of Nothrotheriops shastense (Sinclair, 1905)"	NA	"Anais do XXVIII Congresso Brasileiro de Geologia"	2	NA	"165-176"	NA	"Anais do XXVIII Congresso Brasileiro de Geologia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
